Job Title,Job Info,Position,Employer,City,Province,Skill,Seniority,Work Type,Industry Type,Min_Salary,Max_Salary,Avg_Salary,Skill_List,Education_Level
Senior Business Intelligence Analysts,"'Senior Manager, Business Intelligence and Reporting, Enterprise Conduct Risk Management",Manager,TD Bank,Toronto,ON,Undef,Senior,In-Person,Finance,68000.0,88300.0,78150.0,['undef'],Bachelor's
Senior Supply Chain Data Analysts,Lead Business Systems Analyst (SAP SuccessFactors),Lead,Magic Leap - Multiple Locations,Remote,Undef,"C#, Database",Senior,Remote,Others,68500.0,87000.0,77750.0,"['c#', 'database']",Bachelor's
Financial and Operational Analysts,Treasury Analyst,Analyst,City of Richmond BC,Richmond,BC,Excel,ANY,In-Person,Technology,83345.6,98404.8,90875.2,['excel'],Bachelor's
Senior Supply Chain Data Analysts,Total Rewards Analyst,Analyst,SAIT Polytechnic,Calgary,AB,Excel,ANY,In-Person,Technology,65000.0,85000.0,75000.0,['excel'],Bachelor's
Systems and Data Analysts,"FCM - Data Quality Analyst- Remote, Canada",Analyst,FCM,Remote,Undef,Power BI,ANY,Remote,Others,87000.0,87000.0,87000.0,['power bi'],Bachelor's
Senior Business Intelligence Analysts,Data Analyst (Street Operations),Data Analyst,The City of Vancouver,Vancouver,BC,"Power Bi, Excel, Big Data, Sql",ANY,In-Person,Technology,87443.2,103272.0,95357.6,"['power bi', 'excel', 'big data', 'sql']",Bachelor's
Business and Technical Analysts,RES O 21R - Data Analyst,Data Analyst,BC Public Service,Burnaby,BC,"Python, Sql, R",ANY,In-Person,Service,69760.7,79322.69,74541.695,"['python', 'sql', 'r']",Bachelor's
Senior Data Analysts,Data Analyst,Data Analyst,Fraser Health,Surrey,BC,"Sql, Sas, R, Tableau, Vbscript, Power Bi, Python",ANY,In-Person,Healthcare,79289.59999999999,113984.0,96636.8,"['sql', 'sas', 'r', 'tableau', 'vbscript', 'power bi', 'python']",Bachelor's
Senior Data Analysts,Data Centre Analyst,Analyst,TransLink,Metro Vancouver Regional District,BC,C,ANY,In-Person,Others,30240.56,57200.0,43720.28,['c'],Bachelor's
Business Systems Analysts,Business Configuration Analyst,Analyst,Medavie Blue Cross,Remote,Undef,"Power BI, Sql",ANY,Remote,Healthcare,85816.8,91520.0,88668.4,"['power bi', 'sql']",Bachelor's
Systems and Data Analysts,Performance Data Analyst (Internal Only),Intern,MacEwan University,Edmonton,AB,"Database, Power Bi, Sql",ANY,In-Person,Technology,137280.0,180000.0,158640.0,"['database', 'power bi', 'sql']",Bachelor's
Senior Business Intelligence Analysts,Business Intelligence Developer,Developer,Novartis,MontrÃƒÂ©al,QC,"Power Bi, Sql, Alteryx, Snowflake, Database",ANY,In-Person,Others,68000.0,88300.0,78150.0,"['power bi', 'sql', 'alteryx', 'snowflake', 'database']",Bachelor's
